"sequence","MatchId","f1_pc1","f1_pc2","f1_pc3","f2_pc1","f2_pc2","f2_pc3","pitch_pc1","pitch_pc2","pitch_pc3","intensity_pc1","intensity_pc2","intensity_pc3"
"ea","g_10;em_12_691;n_31338-n_31339;p_28;#=ew_69_149750;prefix=00483-;[0]=ew_0_6208",1.03673381742168,0.164245731459761,-0.0710617207904797,-0.306256313718536,0.321516691615117,0.3981736918102,47.1763654957852,-7.3873723313822,-1.74111679290309,-4.4960143520198,-3.93166846426075,1.52481707027836
"ea","g_10;em_12_698;n_31345-n_31346;p_28;#=ew_69_149833;prefix=00505-;[0]=ew_0_6263",-0.243157624975974,-0.00629571314251123,-0.302344675949032,-0.720719052930593,0.169039776954523,0.435828989380242,-4.51901041442853,-5.21299699562419,-1.8104653177621,-7.53439121718266,-3.20523634937555,0.67010507499133
"ea","g_10;em_12_707;n_31354-n_31355;p_28;#=ew_69_149873;prefix=00524-;[0]=ew_0_6337",1.43646265057296,0.299375074416914,0.0397453321102119,-0.985042368526202,0.389414338627625,-0.00553539182365588,31.6002321835439,6.86091539861762,-4.46172254268595,-0.890248202147262,10.4812142212259,4.3865726832267
"ea","g_10;em_12_710;n_31357-n_31358;p_28;#=ew_69_149890;prefix=00532-;[0]=ew_0_6365",-0.293811445020084,-0.0357029958057906,-0.323641111817738,0.0990935284004268,-0.00260373673500747,0.393391961600618,9.0876621465149,-7.87874935740162,-1.9530182978457,-5.22535307257895,-3.81027747282252,2.25670766418121
"ea","g_10;em_12_714;n_31361-n_31362;p_28;#=ew_69_149910;prefix=00542-;[0]=ew_0_6401",0.47459514250518,0.598779019258081,0.35759504665149,0.112635885268508,-0.179585187215315,0.0707876333796539,-33.8672969552752,-4.38032886156245,-1.42383735515878,-0.746689175183869,-5.91929292007496,0.18154162864361
"ea","g_10;em_12_725;n_31372-n_31373;p_28;#=ew_69_149955;prefix=00568-;[0]=ew_0_6501",-0.069034042338728,0.0207885889951723,-0.0527774410330182,-0.117426896601812,-0.084771484728377,0.193639987034024,-37.4035861208008,-4.63455894186637,-1.25911639140472,5.38461748007268,-4.62970002065514,0.702032726553378
"ea","g_10;em_12_772;n_31419-n_31420;p_28;#=ew_69_150218;prefix=00694-;[0]=ew_0_6930",-3.122232062464,0.944167363258458,-0.585093720000638,2.21353686144729,0.522799566947428,-0.016411467025219,-6.00561881588068,-14.8173674482265,-1.57027414593631,-4.11025353516352,-5.28189667418823,-1.30818224557265
"ea","g_10;em_12_775;n_31422-n_28917;p_28;#=ew_69_150225;prefix=00700-;[0]=ew_0_6947",0.349249007961416,0.6603018304406,-0.0513836330471033,-0.426270863353063,0.151502920650553,0.387657242062348,-17.0553298336214,-0.171134570715009,-0.0874369047863355,-11.6776626783195,0.0182989867864077,-0.388494826466843
"ea","g_100;em_12_162712;n_6281778-n_6281873;p_41;#=ew_69_162580;prefix=13413-;[0]=ew_0_1269573",0.995422458390205,-0.507492078725088,-0.391995450917264,-0.738628974334049,-0.531375707404405,-0.0934148163162738,-67.2779133020495,-2.58636918760754,-0.826015643545843,8.62824854404754,-3.89187164560334,0.0788895786976383
"ea","g_100;em_12_162724;n_6282096-n_6282099;p_41;#=ew_69_162844;prefix=13291-;[0]=ew_0_1270138",0.44704748826418,0.521475905584849,0.314375005705458,-0.0775764748042349,-0.421113269988217,-0.113037681277126,146.911556223798,-4.294543930335,-0.855413950842558,-15.6702745238263,-1.21375615070413,-0.885583131740602
"ea","g_100;em_12_162735;n_6282081-n_6282086;p_41;#=ew_69_162840;prefix=13287-;[0]=ew_0_1268884",-1.63560900221207,0.901410132015059,-0.473990624088645,1.41641198178813,0.314686451439101,-0.201674189316209,-51.6951436684035,6.78195484202803,-21.4558593566354,-2.16040831224372,0.709830017059286,1.1326045039771
"ea","g_100;em_12_162739;n_6282049-n_6281833;p_41;#=ew_69_162802;prefix=13364-;[0]=ew_0_1269857",1.10332998882996,0.0586900017238802,0.334948316072853,-0.361431307450036,-0.355889923231244,-0.102749235924774,36.3577065659409,-1.13440163377406,-0.856573110870927,-4.29600760399671,-1.86499159217052,0.93517970680426
"ea","g_100;em_12_6973;n_742-n_36819;p_41;#=ew_69_162556;prefix=13264-;[0]=ew_0_68315",1.64747938383745,0.218506999107096,-0.385218996368595,-0.583361098955698,-0.461673846426158,-0.237100576536849,34.3834559724925,-9.43262369434658,-3.68032730736052,7.75452140597877,5.56578412494612,-1.87425208137136
"ea","g_1007;em_12_95245;n_16641-n_108206;p_284;#=ew_69_210428;prefix=58103-;[0]=ew_0_623425",-1.69114896563613,1.66882708547561,-0.461430299068712,0.908613878354718,0.508303677065996,-0.409494116726419,71.0586796174591,-4.33150909662385,-1.63046751644682,-7.1435588396179,-2.64015754437745,-0.674544413727434
"ea","g_1007;em_12_95259;n_108219-n_108220;p_284;#=ew_69_210492;prefix=58163-;[0]=ew_0_623659",1.84148765939122,0.186431961061787,-0.283935849788233,-0.672429068347764,0.578130647836335,-0.420817699712969,-12.1203525840145,-4.03482605479755,0.840522244824165,9.77227988195672,0.587162003130017,-0.206695196284317
"ea","g_1007;em_12_95282;n_108242-n_29903;p_284;#=ew_69_210571;prefix=58236-;[0]=ew_0_624009",0.0531351244275289,-0.0896550672524699,-0.158891997142726,-0.800038247969339,0.691227931099973,0.0495406199365425,-45.6462702812911,-3.3731921194911,-0.588691415400149,0.803539161123886,-2.00859947207762,3.0455420799447
"ea","g_1009;em_12_95318;n_16664-n_108256;p_188;#=ew_69_229605;prefix=76223-;[0]=ew_0_624214",-1.30439910243486,-2.5377594838795,-0.444053069190383,-2.0609062582148,0.0121269170113236,0.42762240439429,-46.4463016871702,3.45581643575719,-0.150076966355637,-11.1933742525761,4.29020466447946,-2.23712923252034
"ea","g_1009;em_12_95338;n_108271-n_108272;p_188;#=ew_69_229724;prefix=76274-;[0]=ew_0_624393",2.62853517334936,-0.973904147716197,-0.127053670879158,-0.47797956898648,0.148157033696208,-0.134701179097796,-36.2364920713608,-0.653260343656533,-2.16771058621688,3.36688956501153,2.95331551617026,2.6995863323814
"ea","g_1009;em_12_95354;n_16674-n_108282;p_188;#=ew_69_229800;prefix=76323-;[0]=ew_0_624532",-3.65820431936933,-2.81143973889076,0.243264817556499,-0.444030154479488,1.419177835575,1.33784333734747,-13.9168909219855,4.7860737615345,-4.16341394998396,-9.55937727615969,0.961305798977015,-0.653400028307193
"ea","g_1009;em_12_95370;n_108289-n_16683;p_188;#=ew_69_229892;prefix=76361-;[0]=ew_0_624678",-0.534046449296468,-1.67149301625818,0.337042809714465,1.98497904402651,-1.09379138735923,-0.346535132965379,19.6335208089704,67.8418555574687,34.7325455192405,-9.7106317087044,-6.52938384161227,-0.739100686918648
"ea","g_101;em_12_162897;n_6285622-n_6285626;p_41;#=ew_69_163103;prefix=13703-;[0]=ew_0_1273825",0.419668807099082,-0.91957979866876,0.0515797726102533,0.75848127896615,-0.277815728733721,-0.313497005619352,148.461558257043,10.7881888544379,-3.20952798573206,-11.5883544512316,0.408560736327962,-1.45942877300132
