"","Speaker","ea_speaker_intercept","ia_speaker_intercept","oa_speaker_intercept","ua_speaker_intercept"
"1","K001M",0.132206046707254,-0.486914584284427,0.18993260284624,-0.0874241358583239
"2","K002M",0.560289357082653,0.622452212953578,0.288131850515961,0.466389769443249
"3","K003M",0.19859151221639,0.509145372906116,0.219556581357624,0.14061688651909
"4","K004M",-0.191533667887392,-0.00612647969703427,0.198818621971323,0.263011952558185
"5","K005M",0.161514167388813,0.099522768232976,0.0159369864137646,0.120551663203717
"6","K006M",-0.00580820096312236,0.0302275282258884,-0.289756509855077,-0.238448030635358
"7","K007M",-0.0880810712990616,0.0871898920050846,-0.0974563127889041,0.176974080332498
"8","K008M",-0.303782844730687,-0.36235453075588,-0.206965666938275,-0.412251642516943
"9","K009M",-0.479743325313438,-0.52553604888059,-0.464393964448451,-0.372548995682632
"10","K010M",0.0163480267985636,0.0323938692942856,0.146195810925761,-0.0568715473634898
"11","L1H01M",0.0708048063211008,0.0309760808960165,0.228602217703218,0.0656272795554333
"12","L1H02M",0.16089409951449,-0.192994006984559,0.144426691559265,0.0343050839704119
"13","L1H03M",-0.579155281243294,-0.0660797003707057,0.227064558360458,-0.0507128221066318
"14","L1H04M",0.390446432542592,0.316916982395538,0.11519453016729,-0.266381707466404
"15","L1H05M",-0.437558520267945,0.0329357288351922,-0.172563261814017,-0.0364138003682245
"16","L1H06M",0.394568463133046,-0.121755084771482,-0.542724735976238,0.253575966415381
"17","L1Y01M",0.922712685292137,0.725120513489416,0.189645942561804,-0.0217591147531287
"18","L1Y02M",-0.0828911007049294,0.0636973233725748,0.052473072239478,0.123947049416678
"19","L1Y03M",0.240800931927084,-0.00683719064590429,0.16733182436984,0.139411313940609
"20","L1Y04M",-0.359134194880708,-0.346611246909238,-0.0862114482705382,-0.0501230676513455
"21","L1Y05M",-0.721488321633626,-0.435369399306851,-0.323239390900601,-0.191476180952862
"22","L2H01M",0.213308569766383,0.423933599116457,0.171986359092178,0.0957694890620061
"23","L2H02M",-0.269481296832468,-0.234486635962996,0.160671212524,0.0925478643407479
"24","L2H03M",-0.131075397214977,0.343816172603865,-0.194661595889597,-0.0592774620753179
"25","L2H04M",0.351582925637791,-0.0589380476461495,-0.103393855876222,-0.270294738894143
"26","L2H05M",-0.164334801356766,-0.474325088111174,-0.0346021198503801,0.141254847566669
"27","L2Y01M",0.248373516222567,0.292812875168397,0.0546136073276706,0.0713233343346735
"28","L2Y02M",0.0258681388744126,-0.534131546996609,0.14275403039493,0.121751667447684
"29","L2Y03M",0.822695763373598,0.361501418934699,0.25841257548109,0.297763664399407
"30","L2Y04M",-0.588002767295093,-0.378436545299049,-0.526479056515424,-0.446430704898653
"31","L2Y05M",-0.508934651175545,0.258253798192568,0.0706988433117161,-0.044407961283162
"32","MU01M",0.189394184221125,0.517116981668072,0.3409321325707,0.333487564416436
"33","MU02M",-0.0826855979488634,0.215852272097626,0.118227368180208,-0.15198528535241
"34","MU03M",0.335207772438115,-0.643383157925432,-0.120516842397292,-0.148822028455653
"35","MU04M",-0.0854180205810889,-0.122337982465864,0.0802535265380093,0.210109778080624
"36","MU05M",-0.510285420413516,-0.188123119359409,0.00224651822072631,-0.169187784747866
"37","MU06M",-0.266830761700144,-0.113136624864498,0.130046599335098,-0.171270528838424
"38","MU07M",-0.302171006724558,-0.207341795341564,-0.423274897866045,0.263906975379004
"39","MU08M",0.627981654320099,0.904305458278966,0.0784104765778987,0.0259549558798142
"40","MU09M",0.0447728581106605,-0.0984346803740016,-0.177734912825593,0.272547925987858
"41","MU10M",0.0101201705109895,0.0937998923797911,0.100198772279646,-0.30738781243659
"42","MU11M",0.0399141677670974,-0.358317244093759,-0.128788740613367,-0.157353759912849
"43","R001M",-0.497601710862943,-0.656014761741708,-0.0213257134800516,-0.159620479119414
"44","R002M",0.0984060341910532,0.42122050535743,-0.150346585051759,0.0429517940298145
"45","R003M",-0.328287957839484,-0.19285052611809,-0.188605853497242,-0.108332897061475
"46","R004M",0.140730094192031,-0.103666573836594,0.437488436640078,-0.167449497181579
"47","R005M",-0.64286717488226,-0.294965781559877,-0.0442345069633244,-0.101855856162795
"48","R006M",-0.0332525389244861,-0.367887536153101,-0.103788315339298,-0.410890715208118
"49","R007M",0.0735686968207571,-0.164443694822113,-0.0959989594420186,0.0405842450248
"50","R008M",-0.60229394346052,-0.276361073810368,-0.673125588049301,-0.504222776058524
"51","R009M",-0.506883428721611,0.0505316514336138,-0.234936190438466,0.222651911789038
"52","R010M",0.283264154144045,0.396417997724142,-0.0774106338831543,0.396444545656576
"53","R011M",1.03759755647681,0.397047914863545,0.554204040909033,0.312224692271613
"54","R012M",0.977620218866624,0.790971878663115,0.598079868595479,0.437515032020102
"55","WU01M",0.0910731418472361,-0.36449855711048,0.12938188192165,0.0127422995329082
"56","WU02M",0.0828215793939463,0.0409569684110657,-0.05868888268286,-0.18434177918881
"57","WU03M",0.00610068728240904,0.0320063693575337,0.198695272272884,-0.0126212989147869
"58","WU04M",-0.323820374898558,-0.299291219650531,-0.0413972629687856,0.134811982891102
"59","WU06M",-0.292303670007003,-0.509280427004339,-0.387492321536893,-0.45364135394651
"60","WU07M",0.631692887994364,0.518744825939238,0.404722144408735,0.279128980014187
"61","WU08M",-0.195564251612432,0.581362040057446,-0.245220831414737,0.223921169611882
