"","X.1","X","Corpus","Speaker","category","participant_gender","MatchId","Before.Match","Text","After.Match","Target.word","Target.orthography","Target.vowelCluster","Target.vowelCluster.start","Target.vowelCluster.end","joincode","word","word.alt.format","sequence","final","stress","moraPosition","complex","Language","participant_language","time_0_1","f1_time_0_1","f2_time_0_1","time_0_2","f1_time_0_2","f2_time_0_2","time_0_3","f1_time_0_3","f2_time_0_3","time_0_4","f1_time_0_4","f2_time_0_4","time_0_5","f1_time_0_5","f2_time_0_5","time_0_6","f1_time_0_6","f2_time_0_6","time_0_7","f1_time_0_7","f2_time_0_7","time_0_8","f1_time_0_8","f2_time_0_8","time_0_9","f1_time_0_9","f2_time_0_9","Error"
"11",132,134,"MAONZE","K001M","PresentElder","M","g_10;em_12_757;n_31404-n_31405;p_28;#=ew_69_150171;prefix=00659-;[0]=ew_0_6807","tangata","katoa","ka","katoa","katoa","oa",274.242,274.372,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",274.255,438,914,274.268,447,906,274.281,450,914,274.294,458,877,274.307,469,878,274.32,488,862,274.333,493,906,274.346,601,958,274.359,655,1277,""
"12",133,135,"MAONZE","K001M","PresentElder","M","g_10;em_12_758;n_31405-n_31406;p_28;#=ew_69_150172;prefix=00660-;[0]=ew_0_6810","puta","noa","hoki","noa","noa","oa",275.031,275.101,"noa oa","noa","noa","oa",TRUE,"yes",1,"no","M","M",275.038,494,1030,275.045,513,1038,275.052,512,1011,275.059,501,989,275.066,491,975,275.073,486,952,275.08,485,932,275.087,485,931,275.094,472,917,""
"13",151,153,"MAONZE","K001M","PresentElder","M","g_9;em_12_601;n_31249-n_31250;p_28;#=ew_69_150526;prefix=00804-;[0]=ew_0_5462","taku","hoa","wahine","hoa","hoa","oa",145.51,145.66,"hoa oa","hoa","hoa","oa",TRUE,"yes",1,"no","M","M",145.525,399,733,145.54,396,691,145.555,418,706,145.57,433,711,145.585,458,716,145.6,498,735,145.615,516,803,145.63,515,806,145.645,492,770,""
"14",152,154,"MAONZE","K001M","PresentElder","M","g_9;em_12_602;n_31250-n_31251;p_28;#=ew_69_150529;prefix=00807-;[0]=ew_0_5469","moohio","ahakoa","te:tahi","ahakoa","ahakoa","oa",147.675,147.795,"ahakoa oa","ahakoa","ahakoa","oa",TRUE,"no",3,"no","M","M",147.687,424,732,147.699,465,812,147.711,525,896,147.723,550,965,147.735,559,1058,147.747,569,1139,147.759,559,1222,147.771,522,1254,147.783,533,1209,""
"15",158,160,"MAONZE","K001M","PresentElder","M","g_9;em_12_612;n_31260-n_31261;p_28;#=ew_69_150556;prefix=00833-;[0]=ew_0_5550","noo","taihoa","mai","taihoa","taihoa","oa",180.622,180.802,"taihoa oa","taihoa","taihoa","oa",TRUE,"no",3,"no","M","M",180.64,436,789,180.658,427,771,180.676,478,779,180.694,547,827,180.712,576,885,180.73,609,916,180.748,695,982,180.766,727,1036,180.784,670,1021,""
"16",223,225,"MAONZE","K001M","PresentElder","M","g_8;em_12_492;n_31146-n_31147;p_28;#=ew_69_149817;prefix=01129-;[0]=ew_0_4617","tae","noa","mai","noa","noa","oa",156.703,156.813,"noa oa","noa","noa","oa",TRUE,"yes",1,"no","M","M",156.714,414,1049,156.725,422,954,156.736,438,867,156.747,453,803,156.758,458,761,156.769,485,755,156.78,517,770,156.791,527,799,156.802,519,806,""
"17",227,229,"MAONZE","K001M","PresentElder","M","g_8;em_12_501;n_31155-n_31156;p_28;#=ew_69_149862;prefix=01150-;[0]=ew_0_4697","hingahinga","katoa","nga:","katoa","katoa","oa",185.664,185.814,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",185.679,459,961,185.694,473,904,185.709,496,891,185.724,505,904,185.739,518,922,185.754,555,919,185.769,583,898,185.784,592,898,185.799,516,936,""
"18",229,231,"MAONZE","K001M","PresentElder","M","g_8;em_12_501;n_31155-n_31156;p_28;#=ew_69_149865;prefix=01152-;[0]=ew_0_4700","mea","katoa","na:","katoa","katoa","oa",186.414,186.504,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",186.423,424,1123,186.432,419,1097,186.441,402,1072,186.45,462,1022,186.459,485,974,186.468,532,915,186.477,554,879,186.486,524,1037,186.495,579,988,""
"19",236,238,"MAONZE","K001M","PresentElder","M","g_8;em_12_516;n_31170-n_31171;p_28;#=ew_69_149948;prefix=01189-;[0]=ew_0_4822","whakatautau","noa","pea","noa","noa","oa",233.972,234.162,"noa oa","noa","noa","oa",TRUE,"yes",1,"no","M","M",233.991,505,1197,234.01,504,1050,234.029,512,1001,234.048,520,934,234.067,464,936,234.086,495,913,234.105,493,1064,234.124,471,1007,234.143,404,1015,""
"20",251,253,"MAONZE","K001M","PresentElder","M","g_1944;em_12_165754;n_6847575-n_6847585;p_28;#=ew_69_150377;prefix=01256-;[0]=ew_0_1296489","taangata","katoa","te","katoa","katoa","oa",301.562,301.682,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",301.574,443,1019,301.586,429,890,301.598,433,858,301.61,435,856,301.622,426,852,301.634,439,884,301.646,458,966,301.658,463,1061,301.67,456,1132,""
