"","X.1","X","Corpus","Speaker","category","participant_gender","MatchId","Before.Match","Text","After.Match","Target.word","Target.orthography","Target.vowelCluster","Target.vowelCluster.start","Target.vowelCluster.end","joincode","word","word.alt.format","sequence","final","stress","moraPosition","complex","Language","participant_language","time_0_1","f1_time_0_1","f2_time_0_1","time_0_2","f1_time_0_2","f2_time_0_2","time_0_3","f1_time_0_3","f2_time_0_3","time_0_4","f1_time_0_4","f2_time_0_4","time_0_5","f1_time_0_5","f2_time_0_5","time_0_6","f1_time_0_6","f2_time_0_6","time_0_7","f1_time_0_7","f2_time_0_7","time_0_8","f1_time_0_8","f2_time_0_8","time_0_9","f1_time_0_9","f2_time_0_9","Error"
"11",42,44,"MAONZE","K001M","PresentElder","M","g_11;em_12_785;n_31431-n_31432;p_28;#=ew_69_149223;prefix=00264-;[0]=ew_0_1231057","maatou","ma:tua","ti:puna","ma:tua","ma:tua","ua",25.269,25.379,"ma:tua ua","ma:tua","mAtua","ua",TRUE,"no",3,"no","M","M",25.28,367,1377,25.291,407,1078,25.302,437,1228,25.313,460,1124,25.324,478,1114,25.335,496,1142,25.346,510,1197,25.357,486,1262,25.368,424,1329,""
"12",44,46,"MAONZE","K001M","PresentElder","M","g_11;em_12_792;n_31438-n_31439;p_28;#=ew_69_149242;prefix=00279-;[0]=ew_0_1231548","aku","ma:tua","taku","ma:tua","ma:tua","ua",51.947,52.227,"ma:tua ua","ma:tua","mAtua","ua",TRUE,"no",3,"no","M","M",51.975,386,1278,52.003,427,1140,52.031,474,979,52.059,497,960,52.087,528,828,52.115,566,1010,52.143,556,917,52.171,553,1028,52.199,634,1123,""
"13",61,63,"MAONZE","K001M","PresentElder","M","g_11;em_12_819;n_31465-n_31466;p_28;#=ew_69_149315;prefix=00349-;[0]=ew_0_7336","naa","kua","tae","kua","kua","ua",163.6,163.71,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",163.611,436,877,163.622,422,853,163.633,449,903,163.644,461,955,163.655,477,1010,163.666,485,1053,163.677,475,1050,163.688,486,1086,163.699,542,960,""
"14",62,64,"MAONZE","K001M","PresentElder","M","g_11;em_12_820;n_31466-n_31467;p_28;#=ew_69_149321;prefix=00354-;[0]=ew_0_7343","inaaianei","kua","tau","kua","kua","ua",166.447,166.567,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",166.459,409,948,166.471,452,891,166.483,482,932,166.495,501,978,166.507,511,1013,166.519,527,1032,166.531,527,1023,166.543,503,1122,166.555,516,1081,""
"15",72,74,"MAONZE","K001M","PresentElder","M","g_11;em_12_838;n_31484-n_31485;p_28;#=ew_69_149367;prefix=00398-;[0]=ew_0_7495","ana","kua","ngaro","kua","kua","ua",227.906,227.996,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",227.915,385,863,227.924,391,789,227.933,414,807,227.942,458,826,227.951,474,832,227.96,473,852,227.969,476,871,227.978,450,882,227.987,430,904,""
"16",78,80,"MAONZE","K001M","PresentElder","M","g_11;em_12_848;n_31494-n_31495;p_28;#=ew_69_149385;prefix=00414-;[0]=ew_0_1230768","kua","a:hua","mo:hio","a:hua","a:hua","ua",260.011,260.141,"a:hua ua","a:hua","Ahua","ua",TRUE,"no",3,"no","M","M",260.024,414,941,260.037,427,878,260.05,446,889,260.063,466,897,260.076,485,864,260.089,492,817,260.102,470,794,260.115,453,763,260.128,442,700,""
"17",81,83,"MAONZE","K001M","PresentElder","M","g_11;em_12_851;n_31497-n_31498;p_28;#=ew_69_149394;prefix=00423-;[0]=ew_0_7582","rapa","huarahi","te","huarahi","huarahi","ua",273.37,273.53,"huarahi ua","huarahi","huarahi","ua",FALSE,"yes",1,"no","M","M",273.386,333,828,273.402,335,793,273.418,364,833,273.434,397,920,273.45,446,1001,273.466,491,1059,273.482,550,1078,273.498,590,1080,273.514,568,1092,""
"18",88,90,"MAONZE","K001M","PresentElder","M","g_11;em_12_862;n_31508-n_31509;p_28;#=ew_69_149411;prefix=00440-;[0]=ew_0_1230834","ngaa","a:huatanga","o","a:huatanga","a:huatanga","ua",308.89,309.01,"a:huatanga ua","a:huatanga","AhuataNa","ua",FALSE,"no",3,"no","M","M",308.902,417,975,308.914,405,971,308.926,419,978,308.938,456,1034,308.95,474,1064,308.962,489,1097,308.974,527,1096,308.986,545,1101,308.998,593,1105,""
"19",89,91,"MAONZE","K001M","PresentElder","M","g_11;em_12_863;n_31509-n_31510;p_28;#=ew_69_149418;prefix=00446-;[0]=ew_0_7674","ana","kua","puta","kua","kua","ua",315.175,315.265,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",315.184,413,1040,315.193,372,793,315.202,374,801,315.211,401,817,315.22,417,814,315.229,416,811,315.238,405,798,315.247,425,813,315.256,185,658,""
"20",91,93,"MAONZE","K001M","PresentElder","M","g_11;em_12_866;n_31512-n_31513;p_28;#=ew_69_149427;prefix=00455-;[0]=ew_0_1231655","tuu","a:huatanga","he","a:huatanga","a:huatanga","ua",326.148,326.228,"a:huatanga ua","a:huatanga","AhuataNa","ua",FALSE,"no",3,"no","M","M",326.156,104,1012,326.164,898,2239,326.172,267,1076,326.18,175,1096,326.188,272,1115,326.196,594,1459,326.204,832,1636,326.212,826,929,326.22,1146,2393,""
"21",98,100,"MAONZE","K001M","PresentElder","M","g_10;em_12_693;n_31340-n_31341;p_28;#=ew_69_149780;prefix=00493-;[0]=ew_0_6228","waa","kua","kite","kua","kua","ua",53.536,53.666,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",53.549,397,841,53.562,386,819,53.575,415,815,53.588,452,833,53.601,457,870,53.614,480,897,53.627,480,900,53.64,468,953,53.653,496,1055,""
"22",99,101,"MAONZE","K001M","PresentElder","M","g_10;em_12_695;n_31342-n_31343;p_28;#=ew_69_149794;prefix=00497-;[0]=ew_0_6239","hoki","kua","kite","kua","kua","ua",59.157,59.297,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",59.171,467,785,59.185,381,786,59.199,392,757,59.213,416,771,59.227,451,774,59.241,470,808,59.255,412,857,59.269,403,897,59.283,431,1017,""
"23",100,102,"MAONZE","K001M","PresentElder","M","g_10;em_12_695;n_31342-n_31343;p_28;#=ew_69_149800;prefix=00499-;[0]=ew_0_6242","maatou","kua","noho","kua","kua","ua",60.157,60.267,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",60.168,425,757,60.179,418,714,60.19,438,752,60.201,492,824,60.212,518,899,60.223,531,950,60.234,537,1010,60.245,547,1033,60.256,532,1074,""
"24",101,103,"MAONZE","K001M","PresentElder","M","g_10;em_12_696;n_31343-n_31344;p_28;#=ew_69_149810;prefix=00502-;[0]=ew_0_6247","reira","kua","rongo","kua","kua","ua",62.567,62.677,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",62.578,511,598,62.589,427,631,62.6,544,580,62.611,467,721,62.622,497,780,62.633,503,832,62.644,504,878,62.655,501,899,62.666,506,982,""
"25",107,109,"MAONZE","K001M","PresentElder","M","g_10;em_12_704;n_31351-n_31352;p_28;#=ew_69_149864;prefix=00519-;[0]=ew_0_6311","naa","kua","whakarere","kua","kua","ua",93.586,93.656,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",93.593,529,1746,93.6,552,1634,93.607,581,1491,93.614,529,639,93.621,484,682,93.628,491,681,93.635,498,669,93.642,544,606,93.649,500,622,""
