"","X.3","sequence","MatchId","F1..fPC1","F1..fPC2","F1..fPC3","F2..fPC1","F2..fPC2","F2..fPC3","Pitch..fPC1","Pitch..fPC2","Pitch..fPC3","Intensity..fPC1","Intensity..fPC2","Intensity..fPC3","Duration..z.scored","PC1","PC2","PC3","PC4","X.2","X.1","X","Corpus","Speaker","category","participant_gender","Before.Match","Text","After.Match","Target.word","Target.orthography","Target.vowelCluster","target_timestamp","Target.vowelCluster.end","joincode","word","word.alt.format","final","stress","moraPosition","complex","Language","participant_language","target_transcript","mean_rate"
"1457",1460,"oa","g_873;em_12_87201;n_101864-n_101865;p_168;#=ew_69_174278;prefix=24411-;[0]=ew_0_554561",0.782992946003293,1.16019378792259,0.200556483110971,0.874971933265855,0.0948659881777514,-0.39888983646878,-40.178436423718,-63.7797430747849,-51.0842908136689,4.32068688295077,-3.39504100904852,-1.80107554031073,0.337340986287771,0.10846184309781,-0.406346528140589,-1.28300648966289,-3.53859835952214,3355,5502,5640,"MAONZE","L1H02M","L1","F","te","nohoanga","o","nohoanga","nohoanga","oa",78.842,79.022,"nohoanga oa","nohoanga","nohoaNa",FALSE,"no",2,"yes","M","M","L1H02M-14.trs",0.0929411764705877
"1458",1461,"oa","g_873;em_12_87204;n_101867-n_101868;p_168;#=ew_69_174293;prefix=24419-;[0]=ew_0_554589",-1.59945974014811,-1.72200629027629,-0.631923892964329,0.12254129130915,-0.266897829130095,0.135943622301228,-72.638020160337,0.187079724156846,2.31746911374438,-12.684251986585,-1.81030099084783,-0.717832219696618,-0.1945228758724,1.69138472291588,1.25129571363831,0.832758563836196,0.309590828157662,3357,5506,5644,"MAONZE","L1H02M","L1","F","te","pi:pi:wharauroa .","kei","pi:pi:wharauroa . ","pi:pi:wharauroa","oa",90.259,90.399,"pi:pi:wharauroa oa","pi:pi:wharauroa","pIpIfarauroa",TRUE,"no",8,"no","M","M","L1H02M-14.trs",0.087916666666666
"1459",1462,"oa","g_873;em_12_87210;n_101873-n_101874;p_168;#=ew_69_174367;prefix=24431-;[0]=ew_0_554645",-1.18851748550363,-0.442892503984723,0.0124987023125131,-0.0592490038332516,-0.149944768449857,0.295175263162162,-52.3291486152084,-9.51126567987451,2.27940871943782,-16.4977285940537,-1.58354210327918,-1.08237919746432,0.204375020747681,1.20181687556026,1.01374156827166,0.864303010055182,0.154722249143493,3361,5512,5650,"MAONZE","L1H02M","L1","F","te","pi:pi:wharauroa .","te","pi:pi:wharauroa .","pi:pi:wharauroa","oa",111.949,112.119,"pi:pi:wharauroa oa","pi:pi:wharauroa","pIpIfarauroa",TRUE,"no",8,"no","M","M","L1H02M-14.trs",0.0811999999999989
"1460",1463,"oa","g_876;em_12_87357;n_101980-n_101981;p_169;#=ew_69_175207;prefix=24647-;[0]=ew_0_555492",-0.267352459845775,-0.0279699205409301,0.343823136624203,2.4023706612225,0.220564129282682,0.0533233038534185,-49.7109565746284,1.26873167294031,2.34286244632135,-6.83061374356562,1.03500441985275,2.94994843005687,-0.06155691033231,0.640512595956193,0.941709822123074,-0.91237822725278,0.131456993493261,3380,5552,5693,"MAONZE","L1H03M","L1","F","Maaori","katoa","te","katoa","katoa","oa",165.466,165.616,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","L1H03M-03.trs",0.0828571428571406
"1461",1464,"oa","g_877;em_12_87390;n_102002-n_102003;p_169;#=ew_69_175299;prefix=24720-;[0]=ew_0_555680",4.37274607943294,-0.198246401984816,-0.267612098652824,0.742940699681155,0.765661231130737,0.182859059167233,-61.7912962602305,3.78621818403628,-2.45299389245306,11.7104341558254,-0.0623140751592699,1.95058480574163,2.19886450384799,-1.75703420765957,1.2246356600556,-0.259123424078356,-0.349794237308955,3392,5575,5716,"MAONZE","L1H03M","L1","F","karakia","katoa .","nga: .","katoa .","katoa","oa",27.882,28.202,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","L1H03M-04.trs",0.0946153846153852
"1462",1465,"oa","g_877;em_12_87398;n_102006-n_15015;p_169;#=ew_69_175311;prefix=24732-;[0]=ew_0_1225685",2.22687853331264,3.26447686886415,-0.601977528536567,-2.41782305767039,1.23502599392357,0.347078793281148,-266.690103987222,0.0604664680839484,-7.05204738779946,-18.5088980414969,-1.09578022058155,-0.857948031366839,-0.1945228758724,0.437335782964224,0.982865502904317,3.62703060211472,-1.50827555786447,3396,5581,5722,"MAONZE","L1H03M","L1","F","maatou","katoa","ki","katoa","katoa","oa",51.37,51.51,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","L1H03M-04.trs",0.0616666666666674
"1463",1466,"oa","g_877;em_12_87412;n_102014-n_102015;p_169;#=ew_69_175326;prefix=24742-;[0]=ew_0_555802",2.65277011878693,0.762466780905369,1.64019830557946,0.57805914396287,1.15887518431506,-0.0686193759353055,-13.2682503057577,18.7148963350987,5.56917966957236,1.61549626819043,5.04260778612167,1.65695463023635,1.799966607228,-2.98837539170653,1.16476753472398,-1.09112676597297,0.593990530882155,3397,5584,5725,"MAONZE","L1H03M","L1","F","aahua","ahakoa","kei","ahakoa","ahakoa","oa",90.768,91.058,"ahakoa oa","ahakoa","ahakoa",TRUE,"no",3,"no","M","M","L1H03M-04.trs",0.0899999999999999
"1464",1467,"oa","g_877;em_12_87438;n_102030-n_15030;p_169;#=ew_69_175374;prefix=24788-;[0]=ew_0_555954",-0.178996983287018,2.10229870889223,-1.26060892460578,0.345864643908879,0.856053851442184,-0.905432944327977,-44.8094721749686,1.00333959520812,3.22741146645046,-16.1582632729111,4.37097465142877,-0.769988035110556,-0.194522875872211,-0.415590830158255,-0.592708769533828,2.38918086855617,-0.202301558173658,3405,5595,5736,"MAONZE","L1H03M","L1","F","Maaori","ahakoa","te","ahakoa","ahakoa","oa",160.784,160.924,"ahakoa oa","ahakoa","ahakoa",TRUE,"no",3,"no","M","M","L1H03M-04.trs",0.0779999999999973
"1465",1468,"oa","g_880;em_12_170088;n_6964689-n_6964690;p_169;#=ew_69_175448;prefix=25030-;[0]=ew_0_1330199",1.55383362298131,3.59673693678473,-0.397250359391733,1.67981875284315,-0.563365690101918,-0.132669133411188,60.184809883042,7.2364780608872,3.87366990605982,-7.83529134160702,7.23498240683544,2.86964172431476,0.470306951827672,-0.463934873748419,-2.09208814454017,1.31883171794077,-0.131979326819504,3440,5647,5788,"MAONZE","L1H03M","L1","F","aku","hoa","kua","hoa","hoa","oa",63.92,64.11,"hoa oa","hoa","hoa",TRUE,"yes",1,"no","M","M","L1H03M-07.trs",0.0899999999999999
"1466",1469,"oa","g_880;em_12_87612;n_102137-n_102138;p_169;#=ew_69_175441;prefix=24946-;[0]=ew_0_1225068",-2.30197276826653,-0.484183347785774,-0.223540522604925,1.01011156013665,0.162758389954613,0.282526221824361,-69.5303191142533,-3.51177300016774,2.83771882894331,-20.1735795293559,-3.78682706609728,-1.41197352826212,-1.12528463465256,2.48384570718505,1.15161666914741,0.608342895264845,0.624110451509423,3427,5628,5769,"MAONZE","L1H03M","L1","F","whaanau","katoa","ma:tou .","katoa","katoa","oa",46.58,46.65,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","L1H03M-07.trs",0.0549999999999997
"1467",1470,"oa","g_881;em_12_87683;n_102184-n_102185;p_169;#=ew_69_174995;prefix=25041-;[0]=ew_0_557392",3.82268785620347,1.06008902307143,0.18000080872311,-0.122804949551168,1.2239629080982,0.440455642148893,-209.180288573647,46.6393689906765,27.210295732232,-1.17234500873989,2.45595297298609,-0.332661697453241,2.19886450384799,-1.8402155603409,2.18857909786459,1.80452591131551,2.29149024263777,3442,5650,5791,"MAONZE","L1H03M","L1","F","um","ahakoa .","he -","ahakoa .","ahakoa","oa",25.599,25.919,"ahakoa oa","ahakoa","ahakoa",TRUE,"no",3,"no","M","M","L1H03M-08.trs",0.117500000000001
"1468",1471,"oa","g_881;em_12_87732;n_102209-n_102210;p_169;#=ew_69_175200;prefix=25103-;[0]=ew_0_557692",-2.07976593331529,0.146022168400227,0.996325651701362,0.946329470757454,0.064469747222789,0.0374692820407852,3.23223056308334,3.95623520873017,0.980088797622813,16.3215260670717,0.0477512125488037,-1.85481542670674,0.204375020747492,-0.0536173609710993,-0.267562579751128,-1.79744199451593,1.43944198235906,3452,5664,5805,"MAONZE","L1H03M","L1","F","maatou","katoa","nga:","katoa","katoa","oa",199.3,199.47,"katoa oa","katoa","katoa",TRUE,"no",2,"no","M","M","L1H03M-08.trs",0.0777777777777828
"1469",1472,"oa","g_881;em_12_87734;n_102211-n_102212;p_169;#=ew_69_175215;prefix=25107-;[0]=ew_0_557703",0.769236493212428,-1.3397590087832,0.509411795377039,1.6630108539465,0.141138763765089,-0.335639060895923,35.2151942686719,2.21824644748453,2.12943234495856,0.670129382713114,10.2254472865219,0.846388832309984,1.00217081398765,-1.7136802699972,0.696143130934085,-0.850312163389743,0.686659835816103,3453,5665,5806,"MAONZE","L1H03M","L1","F","ngaa","hoa","ta:ne","hoa","hoa","oa",206.047,206.277,"hoa oa","hoa","hoa",TRUE,"yes",1,"no","M","M","L1H03M-08.trs",0.0740000000000038
"1470",1473,"oa","g_881;em_12_87734;n_102211-n_102212;p_169;#=ew_69_175219;prefix=25108-;[0]=ew_0_557706",-2.72572720083498,0.358607701508826,0.38975388565515,2.92368808627435,-0.344799632746061,-0.404911640110184,-233.084562881291,7.0510114185721,-7.51872265062708,7.56447152431614,-1.99178580833621,-0.49890845755237,0.20437502074787,1.37684741652507,0.911924499613035,-1.38861768209153,0.695739890893089,3454,5666,5807,"MAONZE","L1H03M","L1","F","ngaa","hoa","wahine .","hoa","hoa","oa",207.057,207.227,"hoa oa","hoa","hoa",TRUE,"yes",1,"no","M","M","L1H03M-08.trs",0.0740000000000038
"1471",1474,"oa","g_882;em_12_87745;n_102219-n_102220;p_169;#=ew_69_175827;prefix=25133-;[0]=ew_0_557788",2.51323800153749,3.23524153356356,0.389585551526596,0.571207683321824,0.566504367436235,-0.534950469644873,-6.4194755491083,0.12244915601304,3.28361300746294,-13.618604774165,7.37441938437162,-2.78940652558344,0.603272917367714,-2.02418232033414,-0.926573747181782,1.66837787560495,0.481778894368842,3458,5672,5813,"MAONZE","L1H03M","L1","F","haka","ahakoa","te","ahakoa","ahakoa","oa",11.695,11.895,"ahakoa oa","ahakoa","ahakoa",TRUE,"no",3,"no","M","M","L1H03M-09.trs",0.105
"1472",1475,"oa","g_882;em_12_87746;n_102220-n_102221;p_169;#=ew_69_175828;prefix=25134-;[0]=ew_0_557791",-0.511693211415384,0.786672517596354,0.321679806160782,1.28081991007769,0.3956809002378,-0.256986450544544,-31.4623608120191,8.35428022471446,-1.79333617228672,-0.765366342151946,4.64587466821802,2.07996216048459,0.470306951827719,-0.569249876718474,0.222875588135482,-0.443387812854906,0.0407555637984957,3459,5673,5814,"MAONZE","L1H03M","L1","F","aha","ahakoa","ki","ahakoa","ahakoa","oa",13.145,13.335,"ahakoa oa","ahakoa","ahakoa",TRUE,"no",3,"no","M","M","L1H03M-09.trs",0.107272727272728
